Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
7390	0.001474	0.000923	0.001712	0.009787	0.001185	0.003854	0.000312	0.003618	0.000637	0.000572	0.000548	0.000297	0.000276	-10462.957
7392	0.001474	0.000923	0.002010	0.009787	0.001185	0.004333	0.000312	0.003331	0.000637	0.000572	0.000548	0.000297	0.000276	-10455.031
7394	0.001739	0.001195	0.002373	0.011551	0.001398	0.005474	0.000369	0.003932	0.000752	0.000675	0.000647	0.000351	0.000326	-10440.026
7396	0.001739	0.001195	0.002373	0.011551	0.001398	0.005954	0.000369	0.004456	0.000752	0.000675	0.000647	0.000351	0.000326	-10447.220
7398	0.001553	0.001067	0.002119	0.010318	0.001249	0.005506	0.000329	0.004627	0.000675	0.000603	0.000578	0.000314	0.000290	-10443.098
7400	0.001553	0.001067	0.002119	0.010318	0.001249	0.005506	0.000329	0.002450	0.000620	0.000603	0.000578	0.000333	0.000316	-10447.349
7402	0.001680	0.001154	0.002292	0.011619	0.001351	0.005954	0.000356	0.002649	0.000674	0.000652	0.000625	0.000361	0.000340	-10428.610
7404	0.001625	0.000552	0.002156	0.011046	0.001254	0.005962	0.000335	0.002492	0.000667	0.000614	0.000588	0.000339	0.000304	-10416.920
7406	0.001440	0.000490	0.001910	0.009789	0.000953	0.005284	0.000297	0.002208	0.000591	0.000544	0.000521	0.000301	0.000269	-10436.311
7408	0.001335	0.000519	0.001772	0.009077	0.000884	0.004900	0.000275	0.002457	0.000548	0.000504	0.000483	0.000279	0.000250	-10447.376
7410	0.001505	0.000585	0.001592	0.010228	0.000996	0.005521	0.000310	0.002768	0.000613	0.000568	0.000544	0.000314	0.000283	-10458.228
7412	0.001505	0.000585	0.001592	0.010228	0.000996	0.005242	0.000310	0.002768	0.000613	0.000568	0.000544	0.000314	0.000283	-10431.825
7414	0.001505	0.000585	0.001592	0.010228	0.000996	0.005242	0.000310	0.002768	0.000613	0.000568	0.000544	0.000314	0.000283	-10439.155
7416	0.001624	0.000585	0.001592	0.010228	0.000996	0.005242	0.000310	0.002768	0.000613	0.000568	0.000544	0.000314	0.000283	-10438.405
7418	0.001382	0.000498	0.001679	0.009039	0.000847	0.004080	0.000340	0.001749	0.000513	0.000485	0.000463	0.000267	0.000245	-10423.029
7420	0.001382	0.000498	0.001267	0.009039	0.000847	0.003741	0.000340	0.001767	0.000502	0.000485	0.000463	0.000267	0.000250	-10409.834
7422	0.001254	0.000452	0.001150	0.008206	0.000959	0.003396	0.000309	0.002787	0.000456	0.000441	0.000420	0.000236	0.000227	-10448.117
7424	0.001254	0.000452	0.001150	0.008206	0.000924	0.003396	0.000309	0.002993	0.000459	0.000441	0.000420	0.000236	0.000226	-10419.730
7426	0.001254	0.000452	0.001150	0.008206	0.000924	0.003396	0.000309	0.002993	0.000451	0.000441	0.000420	0.000236	0.000230	-10411.758
7428	0.001146	0.000412	0.001050	0.007493	0.000844	0.003101	0.000282	0.002299	0.000406	0.000402	0.000384	0.000216	0.000213	-10428.742
7430	0.001495	0.000538	0.001371	0.009777	0.001101	0.004494	0.000368	0.003000	0.000532	0.000525	0.000501	0.000281	0.000277	-10426.186
7432	0.001259	0.000453	0.001154	0.008233	0.000738	0.003784	0.000310	0.002526	0.000320	0.000442	0.000422	0.000237	0.000233	-10403.690
7434	0.001436	0.000517	0.001317	0.008615	0.000843	0.003909	0.000353	0.002883	0.000361	0.000504	0.000481	0.000270	0.000269	-10426.985
7436	0.001390	0.000500	0.001274	0.008336	0.000815	0.003782	0.000409	0.002790	0.000349	0.000488	0.000457	0.000261	0.000260	-10415.156
7438	0.001390	0.000500	0.001274	0.008336	0.000815	0.003782	0.000409	0.003334	0.000350	0.000488	0.000457	0.000261	0.000259	-10402.672
7440	0.001387	0.000499	0.001272	0.008664	0.000813	0.003774	0.000408	0.003326	0.000350	0.000487	0.000456	0.000261	0.000259	-10421.395
7442	0.001387	0.000499	0.001272	0.008664	0.000813	0.003774	0.000408	0.003326	0.000350	0.000487	0.000456	0.000261	0.000259	-10400.192
7444	0.001645	0.000592	0.001508	0.010275	0.000965	0.004475	0.000510	0.003945	0.000415	0.000578	0.000529	0.000309	0.000307	-10422.749
7446	0.001645	0.000592	0.001508	0.010275	0.000965	0.004729	0.000510	0.003575	0.000415	0.000575	0.000529	0.000309	0.000307	-10409.660
7448	0.001433	0.000516	0.001314	0.009406	0.000841	0.003509	0.000497	0.003558	0.000361	0.000501	0.000440	0.000270	0.000267	-10431.433
7450	0.001538	0.000554	0.001411	0.010097	0.000902	0.003767	0.000534	0.003819	0.000388	0.000538	0.000473	0.000289	0.000287	-10416.024
7452	0.001538	0.000554	0.001226	0.010097	0.000902	0.004265	0.000534	0.003819	0.000388	0.000538	0.000473	0.000289	0.000287	-10424.800
7454	0.001480	0.000533	0.001180	0.009716	0.000868	0.004104	0.000514	0.003675	0.000373	0.000518	0.000455	0.000278	0.000276	-10431.684
7456	0.001240	0.000447	0.000988	0.008492	0.000727	0.002989	0.000431	0.003079	0.000313	0.000434	0.000381	0.000233	0.000231	-10433.647
7458	0.001356	0.000488	0.001081	0.009286	0.000795	0.003268	0.000491	0.002683	0.000342	0.000474	0.000410	0.000255	0.000253	-10429.560
7460	0.001231	0.000443	0.000981	0.008431	0.000722	0.003444	0.000445	0.002436	0.000310	0.000430	0.000372	0.000232	0.000230	-10442.151
7462	0.001329	0.000498	0.001102	0.010263	0.000811	0.004739	0.000500	0.002736	0.000349	0.000484	0.000418	0.000260	0.000258	-10418.362
7464	0.001329	0.000498	0.001102	0.010263	0.000811	0.004786	0.000500	0.002736	0.000347	0.000483	0.000418	0.000260	0.000259	-10430.270
7466	0.001481	0.000555	0.001229	0.011440	0.000904	0.005335	0.000558	0.003506	0.000759	0.000538	0.000466	0.000290	0.000288	-10426.221
7468	0.001278	0.000479	0.001060	0.009870	0.000780	0.004603	0.000442	0.003025	0.000339	0.000464	0.000416	0.000250	0.000248	-10436.496
7470	0.001278	0.000479	0.001060	0.009661	0.000780	0.004109	0.000442	0.003025	0.000339	0.000464	0.000416	0.000250	0.000248	-10441.405
7472	0.001628	0.000610	0.001350	0.012307	0.000994	0.004764	0.000562	0.003853	0.000432	0.000592	0.000530	0.000319	0.000317	-10428.006
7474	0.001565	0.000587	0.001298	0.010938	0.000956	0.004580	0.000541	0.003705	0.000415	0.000569	0.000509	0.000306	0.000304	-10426.766
7476	0.001565	0.000587	0.001298	0.010938	0.000956	0.004580	0.000490	0.003429	0.000415	0.000569	0.000530	0.000306	0.000304	-10433.708
7478	0.001413	0.000529	0.001172	0.010112	0.000862	0.004134	0.000481	0.003095	0.000376	0.000513	0.000463	0.000277	0.000274	-10439.883
7480	0.001330	0.000498	0.001103	0.009017	0.000943	0.003892	0.000453	0.002914	0.000354	0.000483	0.000435	0.000260	0.000258	-10432.822
7482	0.001330	0.000498	0.001103	0.009017	0.000943	0.003892	0.000453	0.002914	0.000354	0.000483	0.000435	0.000260	0.000258	-10416.061
7484	0.001507	0.000565	0.001250	0.010217	0.001069	0.003959	0.000469	0.003301	0.000401	0.000548	0.000512	0.000295	0.000292	-10405.176
7486	0.001507	0.000565	0.001250	0.010217	0.001069	0.003502	0.000469	0.004065	0.000401	0.000552	0.000512	0.000295	0.000292	-10410.480
7488	0.001507	0.000565	0.001250	0.010217	0.001069	0.003502	0.000469	0.004065	0.000401	0.000552	0.000512	0.000295	0.000292	-10421.772
7490	0.001770	0.000663	0.001468	0.012298	0.001255	0.004092	0.000551	0.004774	0.000471	0.000649	0.000601	0.000347	0.000343	-10419.233
7492	0.001770	0.000663	0.001468	0.012298	0.001255	0.004092	0.000517	0.004774	0.000474	0.000649	0.000618	0.000347	0.000341	-10416.819
7494	0.001575	0.000590	0.001306	0.010941	0.001117	0.004020	0.000460	0.003518	0.000426	0.000577	0.000549	0.000309	0.000301	-10415.121
7496	0.001575	0.000590	0.001875	0.011367	0.001117	0.004020	0.000460	0.003791	0.000426	0.000577	0.000549	0.000309	0.000301	-10423.639
7498	0.001575	0.000590	0.001875	0.011367	0.001117	0.004020	0.000460	0.003791	0.000833	0.000577	0.000549	0.000309	0.000300	-10432.102
7500	0.001575	0.000590	0.001875	0.011367	0.001117	0.004020	0.000460	0.003791	0.000829	0.000577	0.000549	0.000309	0.000301	-10421.202
7502	0.001575	0.000590	0.001875	0.011367	0.001117	0.004020	0.000460	0.003591	0.000836	0.000577	0.000549	0.000309	0.000298	-10417.677
7504	0.001575	0.000590	0.001468	0.011367	0.001117	0.004020	0.000460	0.002995	0.000836	0.000577	0.000549	0.000309	0.000298	-10419.164
7506	0.001575	0.000590	0.001468	0.011367	0.001117	0.004601	0.000460	0.002667	0.000390	0.000577	0.000549	0.000311	0.000298	-10439.146
7508	0.001575	0.000590	0.001468	0.011367	0.001117	0.004601	0.000460	0.003773	0.000390	0.000577	0.000549	0.000307	0.000298	-10428.510
7510	0.001440	0.000539	0.001342	0.010392	0.001021	0.004206	0.000421	0.003450	0.000357	0.000528	0.000502	0.000281	0.000273	-10430.396
7512	0.001440	0.000539	0.001342	0.010837	0.001021	0.005128	0.000421	0.003450	0.000332	0.000528	0.000502	0.000281	0.000273	-10442.985
7514	0.001440	0.000539	0.001342	0.010837	0.001021	0.005128	0.000421	0.003922	0.000332	0.000528	0.000502	0.000281	0.000273	-10403.954
7516	0.001424	0.000534	0.001327	0.010723	0.001010	0.004507	0.000416	0.003880	0.000340	0.000522	0.000497	0.000278	0.000261	-10411.463
7518	0.001424	0.000534	0.001327	0.010723	0.001010	0.004507	0.000416	0.005064	0.000324	0.000522	0.000497	0.000278	0.000274	-10424.345
7520	0.001424	0.000534	0.001434	0.010723	0.001010	0.004507	0.000416	0.003525	0.000324	0.000522	0.000497	0.000279	0.000274	-10415.072
7522	0.001563	0.000586	0.001573	0.011763	0.001108	0.004945	0.000436	0.003867	0.000355	0.000573	0.000557	0.000307	0.000300	-10427.584
7524	0.001401	0.000525	0.001410	0.010547	0.000993	0.004728	0.000400	0.003114	0.000319	0.000514	0.000494	0.000275	0.000269	-10435.227
7526	0.001401	0.000525	0.001410	0.010547	0.000993	0.004728	0.000400	0.003114	0.000387	0.000514	0.000494	0.000275	0.000269	-10417.046
7528	0.001401	0.000525	0.001410	0.010547	0.000993	0.004161	0.000400	0.003114	0.000392	0.000516	0.000494	0.000275	0.000265	-10411.383
7530	0.001409	0.000528	0.001419	0.010337	0.000999	0.004171	0.000402	0.003132	0.000393	0.000519	0.000497	0.000276	0.000268	-10422.224
7532	0.001360	0.000510	0.001370	0.009979	0.000965	0.004027	0.000388	0.003023	0.000379	0.000501	0.000480	0.000267	0.000259	-10414.689
7534	0.001602	0.000600	0.001613	0.011751	0.001136	0.004741	0.000457	0.005077	0.000447	0.000590	0.000565	0.000314	0.000305	-10428.162
7536	0.001454	0.000545	0.001464	0.010670	0.001031	0.004306	0.000475	0.004610	0.000419	0.000536	0.000513	0.000285	0.000268	-10460.745
