Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
151626	0.023723	0.002026	0.004812	0.001705	-10425.111
151628	0.023723	0.002026	0.004812	0.001705	-10417.174
151630	0.023723	0.002026	0.004812	0.001705	-10425.319
151632	0.023723	0.002026	0.004812	0.001705	-10411.117
151634	0.023723	0.002026	0.005484	0.001705	-10422.504
151636	0.026528	0.002265	0.006498	0.001800	-10423.416
151638	0.026528	0.002265	0.006498	0.001800	-10430.431
151640	0.026528	0.002265	0.006498	0.001800	-10435.977
151642	0.028559	0.002488	0.007137	0.001977	-10446.760
151644	0.021915	0.002033	0.005524	0.001554	-10431.080
151646	0.021915	0.002209	0.005524	0.001554	-10445.354
151648	0.018596	0.001874	0.004687	0.001319	-10430.382
151650	0.018596	0.001874	0.004687	0.001319	-10441.566
151652	0.016415	0.001655	0.004138	0.001164	-10454.986
151654	0.017758	0.001790	0.004476	0.001259	-10437.027
151656	0.016570	0.001606	0.003858	0.001130	-10412.071
151658	0.016570	0.001606	0.003858	0.001130	-10414.023
151660	0.017394	0.001606	0.003858	0.001130	-10425.338
151662	0.017394	0.001606	0.004752	0.001130	-10416.033
151664	0.018036	0.001606	0.004752	0.001130	-10417.944
151666	0.017534	0.001606	0.004752	0.001130	-10415.395
151668	0.017534	0.001606	0.004752	0.001130	-10443.845
151670	0.016984	0.001606	0.004752	0.001130	-10436.168
151672	0.014051	0.001354	0.004102	0.000930	-10442.253
151674	0.014051	0.001354	0.004102	0.000930	-10434.749
