Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
186698	0.004774	0.008974	0.001998	0.002985	0.003002	0.001146	0.000513	-10412.709
186700	0.004774	0.009201	0.001998	0.002942	0.003001	0.001144	0.000513	-10400.292
186702	0.004774	0.009201	0.001998	0.002874	0.002912	0.001159	0.000529	-10403.733
186704	0.004774	0.009856	0.001706	0.003023	0.002287	0.001128	0.000535	-10422.270
186706	0.005207	0.011199	0.002236	0.003422	0.002550	0.001285	0.000619	-10426.349
186708	0.005439	0.011199	0.002236	0.003316	0.002574	0.001306	0.000613	-10414.507
186710	0.005439	0.011199	0.002236	0.003245	0.002937	0.001321	0.000609	-10419.247
186712	0.006160	0.012682	0.002832	0.004017	0.003370	0.001479	0.000681	-10425.591
186714	0.006160	0.012682	0.002832	0.004035	0.003258	0.001475	0.000686	-10426.386
186716	0.006517	0.012471	0.002832	0.004123	0.003233	0.001459	0.000691	-10397.567
186718	0.005703	0.010574	0.002488	0.003592	0.003012	0.001287	0.000613	-10402.469
186720	0.005703	0.010574	0.002488	0.003493	0.003480	0.001306	0.000624	-10408.843
186722	0.005170	0.009587	0.002256	0.003516	0.003155	0.001169	0.000566	-10397.133
186724	0.004667	0.009463	0.002287	0.003289	0.002455	0.001075	0.000521	-10390.438
186726	0.005427	0.011003	0.002659	0.003909	0.002862	0.001236	0.000604	-10406.541
186728	0.005427	0.011003	0.002659	0.004148	0.002973	0.001236	0.000582	-10416.642
186730	0.005427	0.011003	0.002659	0.004197	0.002976	0.001229	0.000581	-10395.331
186732	0.005856	0.011872	0.003149	0.004883	0.003254	0.001322	0.000619	-10403.979
186734	0.005144	0.010428	0.002766	0.004407	0.002755	0.001145	0.000564	-10414.128
186736	0.005144	0.010742	0.002766	0.004406	0.002784	0.001145	0.000558	-10441.084
186738	0.005709	0.011603	0.003070	0.004782	0.003161	0.001285	0.000605	-10428.736
186740	0.005709	0.011603	0.003070	0.004637	0.002985	0.001307	0.000603	-10400.680
186742	0.005945	0.012085	0.003124	0.004983	0.003143	0.001338	0.000622	-10431.381
186744	0.005316	0.010806	0.002793	0.004446	0.003003	0.001198	0.000559	-10416.780
186746	0.005607	0.010806	0.003065	0.004436	0.003052	0.001199	0.000550	-10415.523
186748	0.005607	0.011082	0.003065	0.004388	0.003412	0.001207	0.000543	-10417.881
186750	0.006074	0.012292	0.003320	0.005031	0.003775	0.001316	0.000576	-10417.753
186752	0.005613	0.011359	0.003068	0.004520	0.003542	0.001235	0.000524	-10415.150
186754	0.005613	0.011359	0.003068	0.004557	0.003188	0.001230	0.000527	-10411.789
186756	0.004805	0.009725	0.002627	0.003856	0.002695	0.001060	0.000457	-10412.826
186758	0.005879	0.011897	0.003214	0.004863	0.003336	0.001274	0.000553	-10437.013
186760	0.006160	0.011897	0.003214	0.004870	0.003365	0.001273	0.000553	-10421.228
186762	0.006040	0.012120	0.003151	0.004559	0.003254	0.001239	0.000549	-10394.797
186764	0.006040	0.011763	0.003151	0.004563	0.003305	0.001238	0.000541	-10397.000
