Original_Pop	Sample	Assigned_Pop	Posterior_membership_probability
japonicus	ZJst014	japonicus	0.857304033141647
japonicus	ZJst014	japonicus_alani	0.142695966850205
japonicus	ZJst014	meyeni	6.72734435773508e-12
japonicus	ZJst014	montanus_NORTH	1.41991077508376e-12
japonicus	ZJst014	montanus_PALAWAN	3.87195834125411e-20
japonicus	ZJst014	montanus_SOUTH	7.43433801263094e-30
japonicus	ZJst014	nigrorum	3.92855757927187e-50
japonicus	ZJst014	palpebrosus	0
japonicus	ZJst014	simplex	5.12327557332642e-53
japonicus	ZJst015	erythropleurus	6.66122065368923e-220
japonicus	ZJst015	everetti	1.91774299699084e-60
japonicus	ZJst015	japonicus	0.854594498969505
japonicus	ZJst015	japonicus_alani	0.145405501028228
japonicus	ZJst015	meyeni	1.78671921593515e-12
japonicus	ZJst015	montanus_NORTH	4.80117266773286e-13
japonicus	ZJst015	montanus_PALAWAN	9.15317695236802e-21
japonicus	ZJst015	montanus_SOUTH	8.65572851707594e-31
japonicus	ZJst015	nigrorum	4.26598905710126e-51
japonicus	ZJst015	palpebrosus	0
japonicus	ZJst015	simplex	3.55089881646477e-53
japonicus	ZJin001	erythropleurus	1.21345652684611e-218
japonicus	ZJin001	everetti	3.07872960589605e-58
japonicus	ZJin001	japonicus	0.858764630730502
japonicus	ZJin001	japonicus_alani	0.141235369238734
japonicus	ZJin001	meyeni	2.6346956802964e-11
japonicus	ZJin001	montanus_NORTH	4.41711588597161e-12
japonicus	ZJin001	montanus_PALAWAN	1.92695992562493e-19
japonicus	ZJin001	montanus_SOUTH	7.41630588933909e-29
japonicus	ZJin001	nigrorum	7.26446470025296e-49
japonicus	ZJin001	palpebrosus	0
japonicus	ZJin001	simplex	8.88243398249879e-54
japonicus	ZJin003	erythropleurus	3.5965379024292e-218
japonicus	ZJin003	everetti	2.72998818002749e-58
japonicus	ZJin003	japonicus	0.857078970352252
japonicus	ZJin003	japonicus_alani	0.142921029618969
japonicus	ZJin003	meyeni	2.43562139128641e-11
japonicus	ZJin003	montanus_NORTH	4.42214779528989e-12
japonicus	ZJin003	montanus_PALAWAN	1.89838803909425e-19
japonicus	ZJin003	montanus_SOUTH	6.6156607431291e-29
japonicus	ZJin003	nigrorum	6.44884233350952e-49
japonicus	ZJin003	palpebrosus	0
japonicus	ZJin003	simplex	1.19267739092553e-53
simplex	ZJsi002	erythropleurus	1.62892143319178e-173
simplex	ZJsi002	everetti	2.4326399490634e-92
simplex	ZJsi002	japonicus	1.11127016684521e-57
simplex	ZJsi002	japonicus_alani	2.35358378495745e-57
simplex	ZJsi002	meyeni	1.31951902611051e-53
simplex	ZJsi002	montanus_NORTH	2.03984694446946e-48
simplex	ZJsi002	montanus_PALAWAN	2.50401279807913e-54
simplex	ZJsi002	montanus_SOUTH	8.96226593606928e-63
simplex	ZJsi002	nigrorum	2.39954245134947e-82
simplex	ZJsi002	palpebrosus	0
simplex	ZJsi002	simplex	1
simplex	ZJsi017	erythropleurus	2.14837480489392e-162
simplex	ZJsi017	everetti	6.46093930438019e-80
simplex	ZJsi017	japonicus	4.1034668535358e-42
simplex	ZJsi017	japonicus_alani	7.68854006177425e-42
simplex	ZJsi017	meyeni	3.7081744177903e-40
simplex	ZJsi017	montanus_NORTH	2.56069566230678e-35
simplex	ZJsi017	montanus_PALAWAN	2.65520491677493e-41
simplex	ZJsi017	montanus_SOUTH	2.25950618724532e-50
simplex	ZJsi017	nigrorum	6.0205532752771e-70
simplex	ZJsi017	palpebrosus	0
simplex	ZJsi017	simplex	1
simplex	ZJsi032	erythropleurus	4.74308233268123e-157
simplex	ZJsi032	everetti	7.64781992671012e-71
simplex	ZJsi032	japonicus	4.06030922587272e-34
simplex	ZJsi032	japonicus_alani	6.58208267691368e-34
simplex	ZJsi032	meyeni	8.27511603753433e-32
simplex	ZJsi032	montanus_NORTH	1.81538083844011e-27
simplex	ZJsi032	montanus_PALAWAN	4.21970518928627e-33
simplex	ZJsi032	montanus_SOUTH	1.14561414003801e-41
simplex	ZJsi032	nigrorum	7.05080113732863e-61
simplex	ZJsi032	palpebrosus	0
simplex	ZJsi032	simplex	1
simplex	ZJsi023	erythropleurus	5.68278469087472e-172
simplex	ZJsi023	everetti	3.98993555308799e-94
simplex	ZJsi023	japonicus	8.13736085593936e-61
simplex	ZJsi023	japonicus_alani	1.89993672890465e-60
simplex	ZJsi023	meyeni	5.40707091679892e-56
simplex	ZJsi023	montanus_NORTH	1.28475334554076e-50
simplex	ZJsi023	montanus_PALAWAN	2.26592123266909e-56
simplex	ZJsi023	montanus_SOUTH	1.1019837906668e-64
simplex	ZJsi023	nigrorum	4.13290132434877e-84
simplex	ZJsi023	palpebrosus	0
simplex	ZJsi023	simplex	1
simplex	ZJsi024	erythropleurus	4.0170537108553e-159
simplex	ZJsi024	everetti	1.77782636015618e-81
simplex	ZJsi024	japonicus	1.58510722235754e-44
simplex	ZJsi024	japonicus_alani	3.37172164389595e-44
simplex	ZJsi024	meyeni	5.17007096274302e-42
simplex	ZJsi024	montanus_NORTH	6.31127222513637e-37
simplex	ZJsi024	montanus_PALAWAN	9.21401685287286e-43
