Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
46426	0.003922	0.002500	0.014626	0.001143	0.004605	0.001274	0.001671	0.000953	0.000613	0.000574	-10445.313
46428	0.003922	0.002500	0.014626	0.001143	0.004605	0.001274	0.001671	0.000953	0.000613	0.000574	-10419.312
46430	0.003922	0.002500	0.014626	0.001143	0.004244	0.001274	0.001661	0.000982	0.000613	0.000577	-10420.137
46432	0.003922	0.002500	0.014626	0.001143	0.004244	0.001274	0.001661	0.000982	0.000613	0.000577	-10421.217
46434	0.003922	0.002500	0.014626	0.001143	0.004244	0.001274	0.001661	0.000982	0.000613	0.000577	-10423.828
46436	0.004192	0.002672	0.014784	0.001222	0.004536	0.001362	0.001788	0.001050	0.000655	0.000613	-10437.746
46438	0.004978	0.003173	0.017556	0.001451	0.005387	0.001617	0.002089	0.001247	0.000778	0.000739	-10413.154
46440	0.004472	0.002851	0.015771	0.001304	0.005328	0.001669	0.000958	0.001120	0.000695	0.000669	-10422.499
46442	0.004320	0.002754	0.015689	0.001259	0.005147	0.001590	0.000925	0.001082	0.000671	0.000646	-10435.771
46444	0.004320	0.002754	0.015689	0.001259	0.005147	0.001590	0.000925	0.001082	0.000671	0.000646	-10410.011
46446	0.004181	0.002665	0.015183	0.001219	0.005101	0.001539	0.000895	0.001109	0.000650	0.000626	-10439.667
46448	0.004496	0.002866	0.016326	0.001310	0.005485	0.001655	0.000963	0.001192	0.000699	0.000673	-10415.354
46450	0.004496	0.002866	0.016326	0.001310	0.007618	0.001655	0.000963	0.001192	0.000699	0.000673	-10420.987
46452	0.003982	0.002538	0.014461	0.001161	0.005630	0.001465	0.000853	0.001056	0.000619	0.000596	-10425.143
46454	0.003337	0.002127	0.012117	0.001118	0.004718	0.001228	0.001450	0.000885	0.000519	0.000499	-10418.556
46456	0.003310	0.002110	0.012022	0.001109	0.004681	0.001218	0.001439	0.000878	0.000514	0.000495	-10444.933
46458	0.003310	0.002573	0.011181	0.001109	0.004681	0.001218	0.001439	0.000878	0.000514	0.000495	-10448.477
46460	0.003896	0.003028	0.014058	0.001306	0.005509	0.001434	0.001694	0.001033	0.000605	0.000583	-10433.704
46462	0.003896	0.003028	0.014058	0.001306	0.005169	0.001434	0.001757	0.000993	0.000605	0.000562	-10415.335
46464	0.003896	0.003028	0.012813	0.001306	0.006261	0.001434	0.001757	0.000926	0.000605	0.000562	-10418.968
46466	0.003963	0.003080	0.014121	0.001328	0.005316	0.001458	0.001788	0.001006	0.000616	0.000571	-10432.558
46468	0.004619	0.003590	0.017063	0.001548	0.006998	0.001622	0.003414	0.001121	0.000720	0.000666	-10432.443
46470	0.003832	0.002978	0.014155	0.001284	0.004798	0.001345	0.002081	0.000930	0.000598	0.000553	-10412.204
46472	0.004180	0.003249	0.015438	0.001401	0.005905	0.001770	0.002270	0.001014	0.000643	0.000603	-10406.875
46474	0.004180	0.003249	0.015438	0.001401	0.006748	0.001770	0.002322	0.001014	0.000643	0.000589	-10409.915
46476	0.004640	0.003606	0.017138	0.001555	0.007490	0.001964	0.002578	0.001126	0.000714	0.000654	-10431.972
